"","congress","speaker","position","party","date"
"104","1991_dresden","Norbert Lammert",-0.443420685971438,"CDU","12/15/1991"
"105","1991_dresden","Ottfried Hennig",0.668342803557493,"CDU","12/15/1991"
"106","1991_dresden","Peter Hintze",2.73404709041941,"CDU","12/15/1991"
"107","1991_dresden","Peter Jacoby",0.569186304389722,"CDU","12/15/1991"
"108","1991_dresden","Peter Müller",-0.688959537446489,"CDU","12/15/1991"
"109","1991_dresden","Petra Uhlmann",0.497405489029197,"CDU","12/15/1991"
"110","1991_dresden","Reinhard Göhner",1.12608375731247,"CDU","12/15/1991"
"111","1991_dresden","Renate Hellwig",-1.17529014163761,"CDU","12/15/1991"
"112","1991_dresden","Rita Süssmuth",0.334977412313969,"CDU","12/15/1991"
"113","1991_dresden","Siegfried Ernst",0.562298010093099,"CDU","12/15/1991"
"114","1991_dresden","Sigrid Kunze",-1.20091981030262,"CDU","12/15/1991"
"115","1991_dresden","Thomas Stritzl",0.343099740858554,"CDU","12/15/1991"
"116","1991_dresden","Ulf Fink",0.206757084437175,"CDU","12/15/1991"
"117","1991_dresden","Ulrich Junghanns",-2.43245488478976,"CDU","12/15/1991"
"118","1991_dresden","Ursula Braun-Moser",-0.28925345438189,"CDU","12/15/1991"
"119","1991_dresden","Uwe Greve",-0.187383977220323,"CDU","12/15/1991"
"120","1991_dresden","Uwe Lehmann-Brauns",0.78678209264641,"CDU","12/15/1991"
"121","1991_dresden","Werner Dörflinger",-1.27786336857939,"CDU","12/15/1991"
"122","1991_dresden","Werner Münch",0.738931310062051,"CDU","12/15/1991"
"123","1991_dresden","Wolfgang Schäuble",1.32626202988605,"CDU","12/15/1991"
"124","1992_duesseldorf","Alexander Graf von Schwerin",-0.0721388687804124,"CDU","10/26/1992"
"125","1992_duesseldorf","Alfred Dregger",1.16614916708339,"CDU","10/26/1992"
"126","1992_duesseldorf","Andreas Renner",0.267690010088851,"CDU","10/26/1992"
"127","1992_duesseldorf","Angela Merkel",0.324110478889748,"CDU","10/26/1992"
"128","1992_duesseldorf","Annette Eisenhut",0.120624706761937,"CDU","10/26/1992"
"129","1992_duesseldorf","Armin Laschet",0.380246108190317,"CDU","10/26/1992"
"130","1992_duesseldorf","Barbara John",0.249583568819303,"CDU","10/26/1992"
"131","1992_duesseldorf","Bernd Jäger",0.127694965449512,"CDU","10/26/1992"
