"speaker","congress"
"Ulf Fink","1993_berlin"
"Ursula Körtner","1993_berlin"
"Valker Bandmann","1993_berlin"
"Volker Rühe","1993_berlin"
"Werner Schreiber","1993_berlin"
"Wolfgang Schäuble","1993_berlin"
"Wolfgang von Stetten","1993_berlin"
"Albert Eggers","1994_bonn"
"Albert Pfeilsticker","1994_bonn"
"Alexander Graf von Schwerin","1994_bonn"
"Alexander Mitseh","1994_bonn"
"Andreas Renner","1994_bonn"
"Andreas vom Scheidt","1994_bonn"
"Angela Merkel","1994_bonn"
"Annette Widmann","1994_bonn"
"Astrid Natus-Can","1994_bonn"
"Axel Tantzen","1994_bonn"
"Berndt Seite","1994_bonn"
"Bernhard Vogel","1994_bonn"
"Brigitte Baumeister","1994_bonn"
"Britta Schmitz-Hübsch","1994_bonn"
"Carola Hartfelder","1994_bonn"
"Carsten Thomsen-Bendixen","1994_bonn"
"Christa Reichard","1994_bonn"
"Christa Thoben","1994_bonn"
"Christian Schwarz-Schilling","1994_bonn"
"Christian Weisbrich","1994_bonn"
"Christine Arlt-Palmer","1994_bonn"
"Christine Lieberknecht","1994_bonn"
"Christine Mühlhausen","1994_bonn"
"Christoph Bergner","1994_bonn"
"Claudia Nolte","1994_bonn"
"Cornelia Yzer","1994_bonn"
"Elmar Pieroth","1994_bonn"
"Erwin Teufel","1994_bonn"
"Gabriel Zinke","1994_bonn"
"Gerhard Heidemann","1994_bonn"
"Gerhard Mayer-Vorfelder","1994_bonn"
"Goudelieve Quisthoudt-Rowohl","1994_bonn"
"Hanna-Renate Laurien","1994_bonn"
"Hans Geisler","1994_bonn"
"Hans-Jürgen Hasenkamp","1994_bonn"
"Hans-Peter Repnik","1994_bonn"
"Harald Noack","1994_bonn"
"Heiner Geißler","1994_bonn"
"Heinz Eggert","1994_bonn"
"Helmut Kohl","1994_bonn"
"Helmut Linssen","1994_bonn"
"Herbert Reul","1994_bonn"
"Hermann Gröhe","1994_bonn"
"Hildegard Moschner","1994_bonn"
"Jochen-Konrad Fromme","1994_bonn"
"Johannes Gerster","1994_bonn"
"Josef Stock","1994_bonn"
"Karl-Heinz Daehre","1994_bonn"
"Klaus Bregger","1994_bonn"
"Klaus Escher","1994_bonn"
"Klaus Landowsky","1994_bonn"
"Klaus-Heiner Lehne","1994_bonn"
"Kurt Biedenkopf","1994_bonn"
"Maria Böhmer","1994_bonn"
"Maria Herr-Beck","1994_bonn"
"Marion Fischer","1994_bonn"
"Matthias Wissmann ","1994_bonn"
"Michel Friedman","1994_bonn"
"Monika Beck","1994_bonn"
"Monika Brudlewsky","1994_bonn"
"Nico Gallandt","1994_bonn"
"Norbert Blüm","1994_bonn"
"Oliver Röseler","1994_bonn"
"Oliver Schenk","1994_bonn"
"Ottfried Hennig","1994_bonn"
"Otti Geschka","1994_bonn"
"Peter Hintze","1994_bonn"
"Peter Rauen","1994_bonn"
"Rainer Eppelmann","1994_bonn"
"Reinhard Göhner","1994_bonn"
"Renate Hellwig","1994_bonn"
"Rita Süssmuth","1994_bonn"
"Rupert Scholz","1994_bonn"
"Stefan Schwarz","1994_bonn"
"Tonia Meyer","1994_bonn"
"Ulrike Schreiber","1994_bonn"
"Ursula Höing","1994_bonn"
"Ursula Körtner","1994_bonn"
"Ursula Röper","1994_bonn"
"Ute Karger","1994_bonn"
"Wolfgang Schäuble","1994_bonn"
"Alexander Graf von Schwerin","1994_hamburg"
"Alexander Saftig","1994_hamburg"
"Alfred Dregger","1994_hamburg"
"Andreas Renner","1994_hamburg"
"Angela Merkel","1994_hamburg"
"Antonius Rüsenberg","1994_hamburg"
"Armin Laschet","1994_hamburg"
"Arnold Vaatz","1994_hamburg"
"Axel Rodert","1994_hamburg"
"Axel Tantzen","1994_hamburg"
"Berndt Seite","1994_hamburg"
"Bernhard Vogel","1994_hamburg"
"Bernhard Worms","1994_hamburg"
"Birgit Breuel","1994_hamburg"
"Birgit Schnieber-Jastram","1994_hamburg"
"Bodo Henningsen","1994_hamburg"
"Brigitte Baumeister","1994_hamburg"
"Bruno Orth","1994_hamburg"
"Carmen Stange","1994_hamburg"
"Christa Thoben","1994_hamburg"
"Christian Schwarz-Schilling","1994_hamburg"
"Christian Wulff","1994_hamburg"
"Christine Arlt-Palmer","1994_hamburg"
"Christoph Bergner","1994_hamburg"
"Christoph Böhr","1994_hamburg"
"Christoph Kannengießer","1994_hamburg"
"Christoph Konrad","1994_hamburg"
"Claudia Nolte","1994_hamburg"
"Cornelia Yzer","1994_hamburg"
"Dieter Lorenz","1994_hamburg"
"Dieter Murmann","1994_hamburg"
"Dieter Reinfried","1994_hamburg"
"Dietmar Kansy","1994_hamburg"
"Dietrich Austermann","1994_hamburg"
"Dietrich Birk","1994_hamburg"
"Dirk Fischer","1994_hamburg"
"Elisabeth Jeggle","1994_hamburg"
"Elmar Pieroth","1994_hamburg"
"Erhard Alber","1994_hamburg"
"Erich G Fritz","1994_hamburg"
"Erwin Teufel","1994_hamburg"
"Erwin Vetter","1994_hamburg"
"Frank-Michael Pietzsch","1994_hamburg"
"Franz Sauter","1994_hamburg"
"Friedbert Pflüger","1994_hamburg"
"Friedrich Merz","1994_hamburg"
"Fritz Hähle","1994_hamburg"
"Fritz Niedergesäß","1994_hamburg"
"Georg Gölter","1994_hamburg"
"Georg Hake","1994_hamburg"
"Georg Jarzembowski","1994_hamburg"
"Gerd Scheffold","1994_hamburg"
"Gunnar Uldall","1994_hamburg"
"Günter Rinsche","1994_hamburg"
"Hannelore Rönsch","1994_hamburg"
"Hans Geisler","1994_hamburg"
"Hans-Dieter Burkert","1994_hamburg"
"Hans-Jürgen Doss","1994_hamburg"
"Heiner Geißler","1994_hamburg"
"Heinrich von Pierer","1994_hamburg"
"Heinz Eggert","1994_hamburg"
"Heinz-Adolf Hörsken","1994_hamburg"
"Helmut Kohl","1994_hamburg"
"Helmut Sauer","1994_hamburg"
"Herbert Reul","1994_hamburg"
"Herbert Schattke","1994_hamburg"
"Hermann Gröhe","1994_hamburg"
"Hermann Schnipkoweit","1994_hamburg"
"Hermann-Josef Arentz","1994_hamburg"
"Hubert Schill","1994_hamburg"
"Irmgard Klingbeil","1994_hamburg"
"Johanna Gräfin von Westphalen","1994_hamburg"
"Johannes Gerster","1994_hamburg"
"Josef Merkel","1994_hamburg"
"Jörg Rauscher","1994_hamburg"
"Jürgen Schreier","1994_hamburg"
"Karl Fell","1994_hamburg"
"Karl von Wogau","1994_hamburg"
"Karl-Heinz Hornhues","1994_hamburg"
"Klaus Asche","1994_hamburg"
"Klaus Bregger","1994_hamburg"
"Klaus Escher","1994_hamburg"
"Klaus Herrmann","1994_hamburg"
"Klaus Schüle","1994_hamburg"
"Klaus Töpfer","1994_hamburg"
"Klaus-Peter Hesse","1994_hamburg"
"Kunibert Saur","1994_hamburg"
"Kurt Biedenkopf","1994_hamburg"
"Kurt-Dieter Grill","1994_hamburg"
"Leo Dautzenberg","1994_hamburg"
"Leo Lennartz","1994_hamburg"
"Manfred Kanther","1994_hamburg"
"Manfred Kolbe","1994_hamburg"
"Marcus Ostermann","1994_hamburg"
"Maria Böhmer","1994_hamburg"
"Maria Herr-Beck","1994_hamburg"
"Markus Vette","1994_hamburg"
"Martin Klein","1994_hamburg"
"Matthias Wissmann","1994_hamburg"
"Michael Hahn","1994_hamburg"
"Nico Gallandt","1994_hamburg"
"Nicole Bonnie","1994_hamburg"
"Norbert Blüm","1994_hamburg"
"Norbert Lammert","1994_hamburg"
"Paul Breuer","1994_hamburg"
"Paul Krüger","1994_hamburg"
"Peter Hintze","1994_hamburg"
"Peter Jensen-Nissen","1994_hamburg"
"Peter Lehnert","1994_hamburg"
"Peter Paziorek","1994_hamburg"
"Peter Rauen","1994_hamburg"
"Rainer Eppelmann","1994_hamburg"
"Rainer Haungs","1994_hamburg"
"Reinhard Göhner","1994_hamburg"
"Reinhard Wolters","1994_hamburg"
"Renate Diemers","1994_hamburg"
"Renate Hellwig","1994_hamburg"
"Rita Gerdemann","1994_hamburg"
"Rita Süssmuth","1994_hamburg"
"Rita Waschbüsch","1994_hamburg"
"Roland Koch","1994_hamburg"
"Rolf Berend","1994_hamburg"
"Rupert Scholz","1994_hamburg"
"Stefan Schultes","1994_hamburg"
"Stephan Eisel","1994_hamburg"
"Tamara Zieschang","1994_hamburg"
"Thomas Rachel","1994_hamburg"
"Thomas Stritzl","1994_hamburg"
"Udo Haschke","1994_hamburg"
"Ursula Körtner","1994_hamburg"
"Uwe Bartsch","1994_hamburg"
"Volker Kauder","1994_hamburg"
"Volker Rühe","1994_hamburg"
"Walter Link","1994_hamburg"
"Wilhelm Hansen","1994_hamburg"
"Winfried Pinger","1994_hamburg"
"Wolfgang Merbach","1994_hamburg"
"Wolfgang Schäuble","1994_hamburg"
"Wolfgang Vogt","1994_hamburg"
"Albert Eggers","1995_karlsruhe"
"Alexander Mitsch","1995_karlsruhe"
"Andreas vom Scheidt","1995_karlsruhe"
"Angela Merkel","1995_karlsruhe"
"Annette Widmann","1995_karlsruhe"
"Bernhard Vogel","1995_karlsruhe"
"Carola Hartfelder","1995_karlsruhe"
"Christian Wulff","1995_karlsruhe"
"Christoph Bergner","1995_karlsruhe"
"Christoph Konrad","1995_karlsruhe"
"Claudia Nolte","1995_karlsruhe"
"Claus Jäger","1995_karlsruhe"
"Diemut Theato","1995_karlsruhe"
"Eberhard Diepgen","1995_karlsruhe"
"Erika Steinbach","1995_karlsruhe"
"Erwin Teufel","1995_karlsruhe"
"Friedbert Pflüger","1995_karlsruhe"
"Fritz Niedergesäß","1995_karlsruhe"
"Gabriel Zinke","1995_karlsruhe"
"Georg Jarzembowski","1995_karlsruhe"
"Günter Rinsche","1995_karlsruhe"
"Hans-Gert Pöttering","1995_karlsruhe"
"Hans-Peter Repnik","1995_karlsruhe"
"Harald Noack","1995_karlsruhe"
"Hartmut Nassauer","1995_karlsruhe"
"Hedwig Keppelhoff-Wlechert","1995_karlsruhe"
"Heiner Geißler","1995_karlsruhe"
"Heinrich-Wilhelm Ronsöhr","1995_karlsruhe"
"Helmut Kohl","1995_karlsruhe"
"Helmut Linssen","1995_karlsruhe"
"Helmut Sauer","1995_karlsruhe"
